Problem,Token,POS,Shape,Tag
75,},PUNCT,……,I-e_1
75,and,PUNCT,……,O
75,A,PUNCT,……,B-e_1
75,∪,PUNCT,……,I-e_1
75,B,PUNCT,……,I-e_1
75,∪,PUNCT,……,I-e_1
75,C,PUNCT,……,I-e_1
75,=,PUNCT,……,I-e_1
75,ξ,PUNCT,……,I-e_1
75,(,PUNCT,……,O
75,c,PUNCT,……,O
75,),PUNCT,……,O
75,List,PUNCT,……,O
75,all,PUNCT,……,O
75,the,PUNCT,……,O
75,members,PUNCT,……,O
75,of,PUNCT,……,O
75,C,PUNCT,……,O
75,.,NOUN,……,O
76,14,NUM,dd,O
76,.,PUNCT,.,O
76,Fill,VERB,Xxxx,O
76,in,PART,xx,O
76,the,DET,xxx,O
76,blanks,NOUN,xxxx,O
76,with,ADP,xxxx,O
76,one,NUM,xxx,O
76,of,ADP,xx,O
76,the,DET,xxx,O
76,following,VERB,xxxx,O
76,∈,PROPN,∈,O
76,",",PUNCT,",",O
76,∉,ADJ,∉,O
76,",",PUNCT,",",O
76,⊆,PROPN,⊆,O
76,",",PUNCT,",",O
76,⊈,NOUN,⊈,O
76,",",PUNCT,",",O
76,⸦,NOUN,⸦,O
76,",",PUNCT,",",O
76,or,CCONJ,xx,O
76,⊄,VERB,⊄,O
76,to,PART,xx,O
76,make,VERB,xxxx,O
76,each,DET,xxxx,O
76,statement,NOUN,xxxx,O
76,true,ADJ,xxxx,O
76,(,PUNCT,(,O
76,1,NUM,d,O
76,pt,NOUN,xx,O
76,/,SYM,/,O
76,problem,NOUN,xxxx,O
76,),PUNCT,),O
76,.,PUNCT,.,O
76,a,PUNCT,x,O
76,.,PUNCT,.,O
76,{,PUNCT,{,O
76,},PUNCT,},O
76,_,VERB,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,{,PUNCT,{,B-e_1
76,2,NUM,d,I-e_1
76,",",PUNCT,",",I-e_1
76,4,NUM,d,I-e_1
76,},PUNCT,},I-e_1
76,b,NOUN,x,O
76,.,PUNCT,.,O
76,Whole,ADJ,Xxxxx,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,VERB,_,O
76,Rational,PROPN,Xxxxx,O
76,numbers,NOUN,xxxx,O
76,c,VERB,x,O
76,.,PUNCT,.,O
76,-,SYM,-,O
76,2,NUM,d,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,Naturals,PROPN,Xxxxx,O
76,numbers,NOUN,xxxx,O
76,d,X,x,O
76,.,PUNCT,.,O
76,-,PUNCT,-,O
76,6,NUM,d,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,_,NOUN,_,O
76,{,PUNCT,{,B-e_1
76,x,NOUN,x,I-e_1
76,:,PUNCT,:,I-e_1
76,x,PUNCT,x,I-e_1
76,is,VERB,xx,I-e_1
76,a,DET,x,I-e_1
76,solution,NOUN,xxxx,I-e_1
76,to,ADP,xx,I-e_1
76,the,DET,xxx,I-e_1
76,equation,NOUN,xxxx,I-e_1
76,x2,NUM,xd,I-e_1
76,=,SYM,=,I-e_1
76,36,NUM,dd,I-e_1
76,},PUNCT,},I-e_1
77,ξ,PUNCT,x,B-e_1
77,=,X,=,I-e_1
77,{,PUNCT,{,I-e_1
77,1,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,2,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,3,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,4,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,5,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,6,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,7,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,8,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,9,NUM,d,I-e_1
77,},PUNCT,},I-e_1
77,A,NOUN,X,B-e_1
77,=,SYM,=,I-e_1
77,{,PUNCT,{,I-e_1
77,multiples,NOUN,xxxx,I-e_1
77,of,ADP,xx,I-e_1
77,2,NUM,d,I-e_1
77,",",PUNCT,",",I-e_1
77,less,ADJ,xxxx,I-e_1
77,than,ADP,xxxx,I-e_1
77,10,NUM,dd,I-e_1
77,},PUNCT,},I-e_1
77,B,NOUN,X,B-e_1
77,=,SYM,=,I-e_1
77,{,PUNCT,{,I-e_1
77,prime,ADJ,xxxx,I-e_1
77,numbers,NOUN,xxxx,I-e_1
77,",",PUNCT,",",I-e_1
77,less,ADJ,xxxx,I-e_1
77,than,ADP,xxxx,I-e_1
77,10,NUM,dd,I-e_1
77,},PUNCT,},I-e_1
77,Write,VERB,Xxxxx,O
77,down,PART,xxxx,O
77,the,DET,xxx,O
77,set,NOUN,xxx,O
77,(,PUNCT,(,B-e_1
77,A,DET,X,I-e_1
77,∪,NOUN,∪,I-e_1
77,B,NOUN,X,I-e_1
77,),PUNCT,),I-e_1
77,Ꞌ,NOUN,X,I-e_1
77,listing,VERB,xxxx,O
77,up,PART,xx,O
77,all,ADJ,xxx,O
77,its,ADJ,xxx,O
77,elements,NOUN,xxxx,O
77,.,PUNCT,.,O
78,Homework,NOUN,Xxxxx,O
78,#,SYM,#,O
78,1,NUM,d,O
78,-,SYM,-,O
78,9,NUM,d,O
78,:,PUNCT,:,O
78,Sketch,VERB,Xxxxx,O
78,the,DET,xxx,O
78,region,NOUN,xxxx,O
78,.,PUNCT,.,O
78,1,PUNCT,d,O
78,),PUNCT,),O
78,A,DET,X,B-e_1
78,∩,ADJ,∩,I-e_1
78,B,PROPN,X,I-e_1
78,',PART,',I-e_1
78,2,NUM,d,O
78,),PUNCT,),O
78,A,DET,X,B-e_1
78,',PUNCT,',I-e_1
78,∩,ADJ,∩,I-e_1
78,B,NOUN,X,I-e_1
78,’,PART,’,I-e_1
78,3,NUM,d,O
78,),PUNCT,),O
78,A,DET,X,B-e_1
78,’,PUNCT,’,I-e_1
78,∪,NOUN,∪,I-e_1
78,B,NOUN,X,I-e_1
78,4,NUM,d,O
78,),PUNCT,),O
78,A,DET,X,B-e_1
78,∪,NOUN,∪,I-e_1
78,B,PROPN,X,I-e_1
78,',PUNCT,',I-e_1
78,5,NUM,d,O
78,),PUNCT,),O
78,(,PUNCT,(,B-e_1
78,A,DET,X,I-e_1
78,∩,PROPN,∩,I-e_1
78,B,PROPN,X,I-e_1
78,),PUNCT,),I-e_1
78,’,NUM,’,I-e_1
78,6,NUM,d,O
78,),PUNCT,),O
78,(,PUNCT,(,B-e_1
78,A,DET,X,I-e_1
78,∩,ADJ,∩,I-e_1
78,B,NOUN,X,I-e_1
78,’,PUNCT,’,I-e_1
78,),PUNCT,),I-e_1
78,’,NUM,’,I-e_1
78,7,NUM,d,O
78,),PUNCT,),O
78,(,PUNCT,(,B-e_1
78,A,DET,X,I-e_1
78,’,PUNCT,’,I-e_1
78,∪,NOUN,∪,I-e_1
78,B,NOUN,X,I-e_1
78,),PUNCT,),I-e_1
78,’,NUM,’,I-e_1
78,8,NUM,d,O
78,),PUNCT,),O
78,(,PUNCT,(,B-e_1
78,A,DET,X,I-e_1
78,∪,NOUN,∪,I-e_1
78,B,NOUN,X,I-e_1
78,’,PUNCT,’,I-e_1
78,),PUNCT,),I-e_1
78,’,NUM,’,I-e_1
78,9,NUM,d,O
78,),PUNCT,),O
78,A,DET,X,B-e_1
78,’,PUNCT,’,I-e_1
78,∪,NOUN,∪,I-e_1
78,B,NOUN,X,I-e_1
78,’,PUNCT,’,I-e_1
79,H,NOUN,X,B-e_1
79,=,SYM,=,I-e_1
79,{,PUNCT,{,I-e_1
79,x,NOUN,x,I-e_1
79,:,PUNCT,:,I-e_1
79,x,PUNCT,x,I-e_1
79,is,VERB,xx,I-e_1
79,a,DET,x,I-e_1
79,even,ADV,xxxx,I-e_1
79,square,ADJ,xxxx,I-e_1
79,number,NOUN,xxxx,I-e_1
79,.,PUNCT,.,I-e_1
79,10,NUM,dd,I-e_1
79,<,X,<,I-e_1
79,x,X,x,I-e_1
79,<,X,<,I-e_1
79,50,NUM,dd,I-e_1
79,},PUNCT,},I-e_1
79,Write,VERB,Xxxxx,O
79,the,DET,xxx,O
79,set,NOUN,xxx,O
79,H,NOUN,X,O
79,with,ADP,xxxx,O
79,its,ADJ,xxx,O
79,elements,NOUN,xxxx,O
80,A,DET,X,B-e_1
80,",",PUNCT,",",O
80,B,PROPN,X,B-e_1
80,",",PUNCT,",",O
80,and,CCONJ,xxx,O
80,C,NOUN,X,B-e_1
80,are,VERB,xxx,O
80,sets,NOUN,xxxx,O
80,:,PUNCT,:,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,A,NOUN,X,I-e_1
80,),PUNCT,),I-e_1
80,=,SYM,=,I-e_1
80,30,NUM,dd,I-e_1
80,;,PUNCT,;,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,B,NOUN,X,I-e_1
80,),PUNCT,),I-e_1
80,=,SYM,=,I-e_1
80,32,NUM,dd,I-e_1
80,;,PUNCT,;,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,C,NOUN,X,I-e_1
80,),PUNCT,),I-e_1
80,=,SYM,=,I-e_1
80,31,NUM,dd,I-e_1
80,;,PUNCT,;,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,A,DET,X,I-e_1
80,∩,ADJ,∩,I-e_1
80,B,PROPN,X,I-e_1
80,),PUNCT,),I-e_1
80,=,SYM,=,I-e_1
80,16,NUM,dd,I-e_1
80,;,PUNCT,;,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,A,DET,X,I-e_1
80,∩,VERB,∩,I-e_1
80,C,PROPN,X,I-e_1
80,),PUNCT,),I-e_1
80,=,SYM,=,I-e_1
80,19,NUM,dd,I-e_1
80,;,PUNCT,;,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,B,PROPN,X,I-e_1
80,∩,VERB,∩,I-e_1
80,C,PROPN,X,I-e_1
80,),PUNCT,),I-e_1
80,=,SYM,=,I-e_1
80,18,NUM,dd,I-e_1
80,;,PUNCT,;,O
80,and,CCONJ,xxx,O
80,n,PUNCT,x,B-e_1
80,(,PUNCT,(,I-e_1
80,A,DET,X,I-e_1
80,∩,PROPN,∩,I-e_1
80,B,PROPN,X,I-e_1
80,∩,VERB,∩,I-e_1
80,C,PROPN,X,I-e_1
80,),PUNCT,),I-e_1
80,=,SYM,=,I-e_1
80,8,NUM,d,I-e_1
80,.,PUNCT,.,O
80,Find,VERB,Xxxx,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,A,DET,X,I-e_1
80,∪,NOUN,∪,I-e_1
80,B,NOUN,X,I-e_1
80,∪,NOUN,∪,I-e_1
80,C,NOUN,X,I-e_1
80,),PUNCT,),I-e_1
80,and,CCONJ,xxx,O
80,calculate,VERB,xxxx,O
80,n,CCONJ,x,B-e_1
80,(,PUNCT,(,I-e_1
80,A,NOUN,X,I-e_1
80,-,PUNCT,-,I-e_1
80,(,PUNCT,(,I-e_1
80,B,NOUN,X,I-e_1
80,∪,PROPN,∪,I-e_1
80,C,NOUN,X,I-e_1
80,),PUNCT,),I-e_1
80,),PUNCT,),I-e_1
81,What,NOUN,Xxxx,O
81,is,VERB,xx,O
81,U,PROPN,X,B-e_1
81,',PUNCT,',I-e_1
81,∩,VERB,∩,I-e_1
81,A,NOUN,X,I-e_1
81,if,ADP,xx,O
81,U,NOUN,X,B-e_1
81,=,PUNCT,=,I-e_1
81,{,PUNCT,{,I-e_1
81,1,NUM,d,I-e_1
81,",",PUNCT,",",I-e_1
81,2,NUM,d,I-e_1
81,",",PUNCT,",",I-e_1
81,3,NUM,d,I-e_1
81,",",PUNCT,",",I-e_1
81,4,NUM,d,I-e_1
81,",",PUNCT,",",I-e_1
81,5,NUM,d,I-e_1
81,",",PUNCT,",",I-e_1
81,6,NUM,d,I-e_1
81,},PUNCT,},I-e_1
81,and,CCONJ,xxx,O
81,A,NOUN,X,B-e_1
81,=,SYM,=,I-e_1
81,{,PUNCT,{,I-e_1
81,2,NUM,d,I-e_1
81,",",PUNCT,",",I-e_1
81,3,NUM,d,I-e_1
81,",",PUNCT,",",I-e_1
81,6,NUM,d,I-e_1
81,},PUNCT,},I-e_1
82,(,PUNCT,(,O
82,a,DET,x,O
82,),PUNCT,),O
82,On,ADP,Xx,O
82,the,DET,xxx,O
82,Venn,PROPN,Xxxx,O
82,diagram,NOUN,xxxx,O
82,",",PUNCT,",",O
82,shade,VERB,xxxx,O
82,the,DET,xxx,O
82,set,NOUN,xxx,O
82,A,DET,X,B-e_1
82,’,PUNCT,’,I-e_1
82,∩,VERB,∩,I-e_1
82,B,NOUN,X,I-e_1
82,<,X,<,O
82,Diagram,PROPN,Xxxxx,O
82,>,X,>,O
82,(,PUNCT,(,O
82,1,PUNCT,d,O
82,),PUNCT,),O
82,(,PUNCT,(,O
82,b,PUNCT,x,O
82,),PUNCT,),O
82,On,ADP,Xx,O
82,the,DET,xxx,O
82,Venn,PROPN,Xxxx,O
82,diagram,NOUN,xxxx,O
82,",",PUNCT,",",O
82,shade,VERB,xxxx,O
82,the,DET,xxx,O
82,set,NOUN,xxx,O
82,(,PUNCT,(,B-e_1
82,C,PROPN,X,I-e_1
82,∪,NOUN,∪,I-e_1
82,D,NOUN,X,I-e_1
82,),PUNCT,),I-e_1
82,’,NUM,’,I-e_1
82,∩,VERB,∩,I-e_1
82,E,NOUN,X,I-e_1
82,<,X,<,O
82,Diagram,PROPN,Xxxxx,O
82,>,X,>,O
82,(,PUNCT,(,O
82,1,PUNCT,d,O
82,),PUNCT,),O
82,(,PUNCT,(,O
82,c,PUNCT,x,O
82,),PUNCT,),O
82,Use,VERB,Xxx,O
82,set,VERB,xxx,O
82,notation,NOUN,xxxx,O
82,to,PART,xx,O
82,describe,VERB,xxxx,O
82,the,DET,xxx,O
82,shaded,VERB,xxxx,O
82,region,NOUN,xxxx,O
82,in,ADP,xx,O
82,the,DET,xxx,O
82,Venn,PROPN,Xxxx,O
82,diagram,NOUN,xxxx,O
82,below,ADV,xxxx,O
82,.,PUNCT,.,O
82,<,X,<,O
82,Diagram,PROPN,Xxxxx,O
82,>,X,>,O
83,ξ,PUNCT,x,B-e_1
83,=,X,=,I-e_1
83,{,PUNCT,{,I-e_1
83,whole,ADJ,xxxx,I-e_1
83,numbers,NOUN,xxxx,I-e_1
83,from,ADP,xxxx,I-e_1
83,1,NUM,d,I-e_1
83,to,PART,xx,I-e_1
83,10,NUM,dd,I-e_1
83,},PUNCT,},I-e_1
83,A,NOUN,X,B-e_1
83,=,SYM,=,I-e_1
83,{,PUNCT,{,I-e_1
83,triangular,ADJ,xxxx,I-e_1
83,numbers,NOUN,xxxx,I-e_1
83,from,ADP,xxxx,I-e_1
83,1,NUM,d,I-e_1
83,to,PART,xx,I-e_1
83,10,NUM,dd,I-e_1
83,},PUNCT,},I-e_1
83,B,NOUN,X,B-e_1
83,=,SYM,=,I-e_1
83,{,PUNCT,{,I-e_1
83,square,ADJ,xxxx,I-e_1
83,numbers,NOUN,xxxx,I-e_1
83,from,ADP,xxxx,I-e_1
83,1,NUM,d,I-e_1
83,to,PART,xx,I-e_1
83,10,NUM,dd,I-e_1
83,},PUNCT,},I-e_1
83,i,NOUN,x,O
83,),PUNCT,),O
83,Write,VERB,Xxxxx,O
83,down,PART,xxxx,O
83,the,DET,xxx,O
83,sets,NOUN,xxxx,O
83,A,NOUN,X,B-e_1
83,and,CCONJ,xxx,O
83,B,PROPN,X,B-e_1
83,",",PUNCT,",",O
83,listing,VERB,xxxx,O
83,up,PART,xx,O
83,all,ADJ,xxx,O
83,their,ADJ,xxxx,O
83,elements,NOUN,xxxx,O
83,.,PUNCT,.,O
83,ii,PUNCT,xx,O
83,),PUNCT,),O
83,Show,VERB,Xxxx,O
83,the,DET,xxx,O
83,sets,NOUN,xxxx,O
83,ξ,NOUN,x,B-e_1
83,",",PUNCT,",",O
83,A,NOUN,X,B-e_1
83,and,CCONJ,xxx,O
83,B,NOUN,X,B-e_1
83,in,ADP,xx,O
83,a,DET,x,O
83,Venn,PROPN,Xxxx,O
83,diagram,NOUN,xxxx,O
83,.,PUNCT,.,O
84,If,ADP,Xx,O
84,A,DET,X,B-e_1
84,=,SYM,=,I-e_1
84,{,PUNCT,{,I-e_1
84,5,NUM,d,I-e_1
84,",",PUNCT,",",I-e_1
84,7,NUM,d,I-e_1
84,",",PUNCT,",",I-e_1
84,9,NUM,d,I-e_1
84,",",PUNCT,",",I-e_1
84,11,NUM,dd,I-e_1
84,",",PUNCT,",",I-e_1
84,13,NUM,dd,I-e_1
84,",",PUNCT,",",I-e_1
84,15,NUM,dd,I-e_1
84,",",PUNCT,",",I-e_1
84,17,NUM,dd,I-e_1
84,},PUNCT,},I-e_1
84,find,VERB,xxxx,O
84,n,CCONJ,x,B-e_1
84,(,PUNCT,(,I-e_1
84,A,NOUN,X,I-e_1
84,),PUNCT,),I-e_1
84,.,PUNCT,.,O
85,If,ADP,Xx,O
85,A,DET,X,B-e_1
85,=,SYM,=,I-e_1
85,{,PUNCT,{,I-e_1
85,2,NUM,d,I-e_1
85,",",PUNCT,",",I-e_1
85,3,NUM,d,I-e_1
85,",",PUNCT,",",I-e_1
85,5,NUM,d,I-e_1
85,",",PUNCT,",",I-e_1
85,7,NUM,d,I-e_1
85,},PUNCT,},I-e_1
85,how,ADV,xxx,O
85,many,ADJ,xxxx,O
85,is,VERB,xx,O
85,n,CCONJ,x,B-e_1
85,(,PUNCT,(,I-e_1
85,A,NOUN,X,I-e_1
85,),PUNCT,),I-e_1
85,?,PUNCT,?,O
86,Write,VERB,Xxxxx,O
86,each,DET,xxxx,O
86,of,ADP,xx,O
86,the,DET,xxx,O
86,following,NOUN,xxxx,O
86,in,ADP,xx,O
86,set,NOUN,xxx,O
86,builder,NOUN,xxxx,O
86,notation,NOUN,xxxx,O
86,.,PUNCT,.,O
86,a,DET,x,O
86,.,PUNCT,.,O
86,{,PUNCT,{,B-e_1
86,0,NUM,d,I-e_1
86,",",PUNCT,",",I-e_1
86,1,NUM,d,I-e_1
86,",",PUNCT,",",I-e_1
86,2,NUM,d,I-e_1
86,",",PUNCT,",",I-e_1
86,3,NUM,d,I-e_1
86,",",PUNCT,",",I-e_1
86,4,NUM,d,I-e_1
86,",",PUNCT,",",I-e_1
86,5,NUM,d,I-e_1
86,",",PUNCT,",",I-e_1
86,6,NUM,d,I-e_1
86,",",PUNCT,",",I-e_1
86,7,NUM,d,I-e_1
86,},PUNCT,},I-e_1
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,b,NOUN,x,O
86,.,PUNCT,.,O
86,{,PUNCT,{,B-e_1
86,January,PROPN,Xxxxx,I-e_1
86,",",PUNCT,",",I-e_1
86,February,PROPN,Xxxxx,I-e_1
86,",",PUNCT,",",I-e_1
86,March,PROPN,Xxxxx,I-e_1
86,",",PUNCT,",",I-e_1
86,April,PROPN,Xxxxx,I-e_1
86,",",PUNCT,",",I-e_1
86,May,PROPN,Xxx,I-e_1
86,},PUNCT,},I-e_1
86,_,VERB,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
86,_,NOUN,_,O
87,Find,VERB,Xxxx,O
87,the,DET,xxx,O
87,cardinality,NOUN,xxxx,O
87,of,ADP,xx,O
87,each,DET,xxxx,O
87,of,ADP,xx,O
87,the,DET,xxx,O
87,following,VERB,xxxx,O
87,sets,NOUN,xxxx,O
87,.,PUNCT,.,O
87,i,PRON,x,O
87,.,PUNCT,.,O
87,A,NOUN,X,B-e_1
87,=,SYM,=,I-e_1
87,{,PUNCT,{,I-e_1
87,Vowels,PROPN,Xxxxx,I-e_1
87,in,ADP,xx,I-e_1
87,English,PROPN,Xxxxx,I-e_1
87,alphabet,NOUN,xxxx,I-e_1
87,},PUNCT,},I-e_1
87,ii,NOUN,xx,O
87,.,PUNCT,.,O
87,B,NOUN,X,B-e_1
87,=,X,=,I-e_1
87,{,PUNCT,{,I-e_1
87,x,SYM,x,I-e_1
87,:,PUNCT,:,I-e_1
87,factors,NOUN,xxxx,I-e_1
87,of,ADP,xx,I-e_1
87,5,NUM,d,I-e_1
87,",",PUNCT,",",I-e_1
87,0,NUM,d,I-e_1
87,≤,NOUN,≤,I-e_1
87,x,SYM,x,I-e_1
87,≤,NOUN,≤,I-e_1
87,10,NUM,dd,I-e_1
87,},PUNCT,},I-e_1
87,iii,NOUN,xxx,O
87,.,PUNCT,.,O
87,<,X,<,O
87,diagram,NOUN,xxxx,O
87,>,X,>,O
87,iv,PUNCT,xx,O
87,.,PUNCT,.,O
87,D,NOUN,X,B-e_1
87,=,PUNCT,=,I-e_1
87,{,PUNCT,{,I-e_1
87,letters,NOUN,xxxx,I-e_1
87,of,ADP,xx,I-e_1
87,the,DET,xxx,I-e_1
87,word,NOUN,xxxx,I-e_1
87,“,PUNCT,“,I-e_1
87,Red,ADJ,Xxx,I-e_1
87,water,NOUN,xxxx,I-e_1
87,”,PUNCT,”,I-e_1
87,},PUNCT,},I-e_1
87,v,X,x,O
87,.,PUNCT,.,O
87,E,NOUN,X,B-e_1
87,=,SYM,=,I-e_1
87,{,PUNCT,{,I-e_1
87,Natural,ADJ,Xxxxx,I-e_1
87,numbers,NOUN,xxxx,I-e_1
87,between,ADP,xxxx,I-e_1
87,0,NUM,d,I-e_1
87,and,CCONJ,xxx,I-e_1
87,10,NUM,dd,I-e_1
87,},PUNCT,},I-e_1
87,vi,NOUN,xx,O
87,.,PUNCT,.,O
87,F,NOUN,X,B-e_1
87,=,PUNCT,=,I-e_1
87,{,PUNCT,{,I-e_1
87,Triangular,ADJ,Xxxxx,I-e_1
87,numbers,NOUN,xxxx,I-e_1
87,between,ADP,xxxx,I-e_1
87,0,NUM,d,I-e_1
87,and,CCONJ,xxx,I-e_1
87,10,NUM,dd,I-e_1
87,},PUNCT,},I-e_1
88,4,PUNCT,d,O
88,(,PUNCT,(,O
88,a,DET,x,O
88,),PUNCT,),O
88,ξ,NOUN,x,B-e_1
88,=,X,=,I-e_1
88,{,PUNCT,{,I-e_1
88,x,NOUN,x,I-e_1
88,:,PUNCT,:,I-e_1
88,x,PUNCT,x,I-e_1
88,is,VERB,xx,I-e_1
88,an,DET,xx,I-e_1
88,integer,NOUN,xxxx,I-e_1
88,and,CCONJ,xxx,I-e_1
88,10,NUM,dd,I-e_1
88,≤,NOUN,≤,I-e_1
88,x,SYM,x,I-e_1
88,≤,NOUN,≤,I-e_1
88,21,NUM,dd,I-e_1
88,},PUNCT,},I-e_1
88,E,NOUN,X,B-e_1
88,=,SYM,=,I-e_1
88,{,PUNCT,{,I-e_1
88,x,SYM,x,I-e_1
88,:,PUNCT,:,I-e_1
88,x,PUNCT,x,I-e_1
88,is,VERB,xx,I-e_1
88,an,DET,xx,I-e_1
88,even,ADJ,xxxx,I-e_1
88,number,NOUN,xxxx,I-e_1
88,},PUNCT,},I-e_1
88,M,NOUN,X,B-e_1
88,=,SYM,=,I-e_1
88,{,PUNCT,{,I-e_1
88,x,NOUN,x,I-e_1
88,:,PUNCT,:,I-e_1
88,x,PUNCT,x,I-e_1
88,is,VERB,xx,I-e_1
88,a,DET,x,I-e_1
88,multiple,NOUN,xxxx,I-e_1
88,of,ADP,xx,I-e_1
88,5,NUM,d,I-e_1
88,),PUNCT,),I-e_1
88,P,NOUN,X,B-e_1
88,=,SYM,=,I-e_1
88,{,PUNCT,{,I-e_1
88,x,NOUN,x,I-e_1
88,:,PUNCT,:,I-e_1
88,x,PUNCT,x,I-e_1
88,is,VERB,xx,I-e_1
88,a,DET,x,I-e_1
88,prime,ADJ,xxxx,I-e_1
88,number,NOUN,xxxx,I-e_1
88,},PUNCT,},I-e_1
88,The,DET,Xxx,O
88,Venn,PROPN,Xxxx,O
88,diagram,NOUN,xxxx,O
88,shows,VERB,xxxx,O
88,the,DET,xxx,O
88,Universal,PROPN,Xxxxx,O
88,set,VERB,xxx,O
88,ξ,NOUN,x,B-e_1
88,and,CCONJ,xxx,O
88,the,DET,xxx,O
88,subsets,NOUN,xxxx,O
88,E,NOUN,X,B-e_1
88,and,CCONJ,xxx,O
88,M,PROPN,X,B-e_1
88,.,PUNCT,.,O
88,Two,NUM,Xxx,O
88,elements,NOUN,xxxx,O
88,of,ADP,xx,O
88,ξ,NOUN,x,B-e_1
88,are,VERB,xxx,O
88,shown,VERB,xxxx,O
88,in,ADP,xx,O
88,their,ADJ,xxxx,O
88,appropriate,ADJ,xxxx,O
88,subsets,NOUN,xxxx,O
88,.,PUNCT,.,O
88,(,PUNCT,(,O
88,1,PUNCT,d,O
88,),PUNCT,),O
88,Copy,VERB,Xxxx,O
88,the,DET,xxx,O
88,Venn,PROPN,Xxxx,O
88,diagram,NOUN,xxxx,O
88,shown,VERB,xxxx,O
88,above,ADV,xxxx,O
88,and,CCONJ,xxx,O
88,draw,VERB,xxxx,O
88,the,DET,xxx,O
88,subset,NOUN,xxxx,O
88,P,NOUN,X,B-e_1
88,.,PUNCT,.,O
88,(,PUNCT,(,O
88,ii,PUNCT,xx,O
88,),PUNCT,),O
88,Write,VERB,Xxxxx,O
88,the,DET,xxx,O
88,remaining,VERB,xxxx,O
88,10,NUM,dd,B-e_1
88,elements,NOUN,xxxx,O
88,of,ADP,xx,O
88,ξ,NOUN,x,B-e_1
88,in,ADP,xx,O
88,the,DET,xxx,O
88,appropriate,ADJ,xxxx,O
88,subsets,NOUN,xxxx,O
88,of,ADP,xx,O
88,your,ADJ,xxxx,O
88,Venn,PROPN,Xxxx,O
88,diagram,NOUN,xxxx,O
88,.,PUNCT,.,O
88,[,PUNCT,[,O
88,3,NUM,d,O
88,],PUNCT,],O
89,(,PUNCT,(,O
